Title,Company Name,Description,Link
Ostakon,Working Student (m/f/d),"
			Berlin or region of Frankfurt and Remote We are looking for a student who have interest to learn web3 or has already experience with and have fun developing innovative application and platforms. Knowledge of the IOTA protocol, solidity or rust is a plus. Don’t worry if you just started getting familiar with web3 technology we...		",https://berlinstartupjobs.com/internships/working-student-m-f-d-ostakon/
Pliant,Software Engineer – Infrastructure *remote* (m/f/d),"
			ABOUT US Since 2020, Pliant has been on a mission to rethink credit cards and empower companies to grow by providing a smart way to pay that scale with their business. With our app and API-based solutions, Pliant allows companies to issue physical and virtual credit cards, automate payment processes, track spending, and seamlessly integrate...		",https://berlinstartupjobs.com/engineering/software-engineer-infrastructure-remote-m-f-d-pliant/
  Luno  , DevSecOps Specialist ," Support and consult with product and engineering teams in the area of application security, including threat modelling and AppSec reviews Assist teams in reproducing, triaging, and addressing application security vulnerabilities. Support and assist in managing our bug bounty program. Author, share and contribute to documentation on application security processes, tooling and other resources to ensure collaboration and transparency within your own team and throughout the greater organisation. Design and implement continuous application security testing mechanisms to aid in assessing our security posture and furthermore, drive down the number of vulnerabilities and threats in our environment. Inform, support and empower our software engineers to strive towards becoming more vigilant, aware and capable secure coding practitioners. This includes developing structured and unstructured engagements such as, targeted and general training, one-on-one and one-to-many coaching/information sharing sessions and general enquiry handling around application security. ",https://web3.career/devsecops-specialist-luno/72031
  Binance  , Senior QA Engineer Payment product ," Work closely with project members to deliver high quality products Understand business scenarios and tech architecture, design and develop test cases, and organize test case reviews Execute test cases and identify issues through functional and non-functional tests Identify, track bugs to be fixed and make sure delivery on time Design, develop and execute automation scripts or implement quality tool/platform to continuously increase efficiency ",https://web3.career/senior-qa-engineer-payment-product-binance/72024
  Binance  , Senior Java Engineer E C ," Development and maintenance of front-end gateway (based on Traefik) and Cache-Proxy. Partner with the Product Manager, DevOps, QA, and teammates to get things done. Promote technology best practice within the team, and conduct code review for peers. ",https://web3.career/senior-java-engineer-e-c-binance/72015
  OKX  , Staff Senior Software Engineer Java Exchange Platm Trading Services ," Design and implement innovative solutions for our full range of trading products including spot, future, perpetual swap and options Build out industry-leading risk management platform Build out automated trading strategies Performance optimization for overall trading architecture aiming for low latency, high availability and scalability ",https://web3.career/staff-senior-software-engineer-java-exchange-platform-trading-services-okx/71873
  FalconX  , Account Manager ," Act as the first line of contact for all client inquiries and concerns. Resolve client issues promptly and professionally, escalating when necessary Support essential onboarding processes and completion of KYC/KYB documentation & verification for new accounts Support completing DDQs for new clients to ensure KYC/KYB compliance guidelines are met Analyze client needs and provide tailored solutions to meet those needs by engaging with the appropriate internal teams. Be well-educated on the FalconX product suite to assist customers with self-servicing their accounts Continuously support our customers in their knowledge of our platforms so they can address problems swiftly Collaborate with internal teams to ensure timely and reliable delivery of service Maintain detailed records of client interactions and transaction Provide feedback to management regarding client satisfaction and areas for improvement. Stay updated on industry trends and company products/services to provide informed support to clients Contribute to the expansion of the client base through networking and relationship-building activities ",https://web3.career/account-manager-falconx/71870
  Shakepay  , Lead Software Engineer in Test SET ,"  Technical Strategy: Define the vision and strategy for testing and developer enablement within the team.  Advocate for Quality: Champion best practices in code quality, testing, and maintainability and drive their adoption across the engineering organisation. Define and implement quality standards, templates in GitHub pull requests, and ensure comprehensive definitions of done in Linear tickets.  Collaboration: Work closely with product, design, and other engineering teams to ensure that our tools and frameworks meet the evolving needs of our Engineers.  Tool & Framework Development: Architect, design, and implement automated testing frameworks and tools from scratch.  Mentorship: Guide, coach, and mentor team members and foster an innovative and collaborative environment.  Continuous Improvement: Evaluate emerging technologies and industry trends. Regularly refine our approach to stay ahead of the curve.  Hands-on Testing: Be prepared to roll up your sleeves and dive into the code, demonstrating best practices firsthand. ",https://web3.career/lead-software-engineer-in-test-set-shakepay/71842
  Gate.io  , Security Engineer , 参与公司应用安全体系建设，建立应用上线前安全评审，推动代码安全、应用组件安全、黑盒及交互式应用安全测试、代码发布等流程； 负责整体业务的安全测试工作，上线前代码安全审计工作； 研究利用源代码静态检查技术进行代码漏洞检测和分析，并实现对应核心算法或工具； 负责源代码静态检查工具的评估和检查能力提升；通过工具拦截和降低公司产品的安全风险； 制定和完善安全技术规范，包括不限于安全开发规范、安全评估测试规范等。 ,https://web3.career/security-engineer-gate-io/71802
  Token Metrics  , Senior Crypto Data Engineer Vietnam Remote ,"  Liaising with coworkers and clients to elucidate the requirements for each task.  Conceptualizing and generating infrastructure that allows big data to be accessed and analyzed.  Reformulating existing frameworks to optimize their functioning.  Testing such structures to ensure that they are fit for use.  Building a data pipeline from different data sources using different data types like API, CSV, JSON, etc.  Preparing raw data for manipulation by Data Scientists.  Implementing proper data validation and data reconciliation methodologies.  Ensuring that your work remains backed up and readily accessible to relevant coworkers.  Remaining up-to-date with industry standards and technological advancements that will improve the quality of your outputs. ",https://web3.career/senior-crypto-data-engineer-vietnam-remote-tokenmetrics/71577
