Title,Company Name,Description,Link
adjust,Frontend Engineer,"
			Adjust, an AppLovin (NASDAQ: APP) company, is trusted by marketers around the world to measure and grow their apps across platforms, from mobile to CTV and beyond. Adjust works with companies at every stage of the app marketing journey, from fast-growing digital brands to brick-and-mortar companies launching their first apps. Adjust’s powerful measurement and analytics...		",https://berlinstartupjobs.com/engineering/frontend-engineer-adjust/
xymatic,Senior front-end developer (full-time),"
			Summary To provide our customers with experiences which are both powerful with as much features as necessary but also serves the future of our planet by creating as little carbon emissions as possible, we strive for developing the most efficient and lean solutions throughout our software development process. This is where the goals between high-end...		",https://berlinstartupjobs.com/engineering/senior-front-end-developer-full-time-xymatic/
  Kiosk  , Director of Engineering ," Guide the engineering vision, translating high-level strategy into tangible technical implementations and architecture. Architect our product roadmap and infrastructure. Collaboratively work with leadership, product and design, refining features and ensuring optimal resource allocation. Hands-on coding alongside your team where needed! Own the recruitment, training, mentoring, and development of our dynamic engineering team (currently a team of 3), ensuring cohesion and high performance. Build and foster a positive engineering team culture. Continuously enhance our engineering best practices, methodologies, and systems. Lead multifaceted projects, ensuring that complex problems are translated into actionable deliverables. ",https://web3.career/director-of-engineering-kiosk/72045
  Islamic Coin  , Senior React Native Engineer ," Programming: React Native / TypeScript / Swift / Kotlin Tools: GitHub, Fastlane Blockchain: DApps integration Platforms: iOS, Android ",https://web3.career/senior-react-native-engineer-islamiccoin/72041
  TAC  , Frontend Developer dApp ," Develop, adapt, and port existing user interfaces for dApp applications (wallets, DEXs, etc.). Integrate the frontend with APIs and smart contracts. Develop Telegram mini apps. Optimize web applications for maximum speed and scalability. Participate in the design and implementation of new features. Conduct cross-browser testing and debugging. Create and maintain technical documentation. ",https://web3.career/frontend-developer-dapp-tac/72007
  Token Metrics  , Crypto Head of Engineering PakistanRemote , Own product roadmap Proposing and managing budgets for projects. Supervising the work of multiple teams. Planning and executing strategies for completing projects on time. Researching and developing designs and products. Determining the need for training and talent development. Ensuring products have the support of upper management. Providing clear and concise instructions to engineering teams. ,https://web3.career/crypto-head-of-engineering-pakistan-remote-tokenmetrics/71960
  Quantinium  , Technology Backend Lead GLOBAL ," Lead the development team, ensuring adherence to best practices, development standards, and methodologies. Champion technical excellence across processes, techniques, and smart tooling to reduce technical debt and enhance developer productivity. Collaborate with cross-functional teams including UX/UI designers, backend developers, and project managers to ensure successful project delivery. Make informed technical decisions, provide coaching, and help define and prioritize the engineering roadmap. Provide technical leadership and mentorship to junior team members, fostering a culture of innovation and continuous learning. Engage actively in coding, troubleshooting, and enhancing functionality to improve overall efficiency. Analyze and resolve complex technical issues to ensure system performance and reliability. Identify areas for improvement in the existing codebase and contribute to ongoing software system enhancements. ",https://web3.career/technology-backend-lead-global-quantinium/71948
  Satlantis  , Mobile App Developer ," Complete coding and build of mobile software per product roadmap Formulate, design, and implement mobile solutions per requirements Test applications to ensure they are working properly, including writing unit tests. Oversee CI/CD pipelines including build process and end user distribution for Android and iOS applications in app stores Provide end-user support as needed Responsible for troubleshooting Stay on top of security threats and ensure updates to mitigate risks Assess and update existing application and features Collaborate with CTO and Head of Product ",https://web3.career/mobile-app-developer-laier-two-labs-inc/71946
  Hermeneutic Investments  , Software Engineering Lead Manager RealTime Inmation Flows Hedge Fund ," Bring your TradFi experience to a new nascent asset class where there is plenty of alpha to be harvested. Work some of the best crypto researchers and traders, proven with track record. Be compensated very well, as our profitability per staff member is very high. Think: retirement money after 5 years. ",https://web3.career/software-engineering-lead-manager-real-time-information-flows-hedge-fund-hermeneutic-investments/71940
  Bondex  , Web 3 Fullstack Developer Solidity Typescript ," Minimum of 4 years of professional experience in WEB development; preferably with Typescript Experience as Fullstack Web3 developer at least 2 years: Solidity, Typescript, NodeJS, React+CSS, Rust; Experience in Smart contracts and DeFi protocols (curve, uniswap, AAVE etc); Perfect English; Available immediately.  ",https://web3.career/web-3-fullstack-developer-solidity-typescript-bondex/71927
  Klink Finance  , Senior QA Engineer Crypto App ," Design, develop, and implement comprehensive test plans to ensure the reliability and performance of our mobile and web based products, emphasizing the bridge between CeFi and DeFi opportunities. Create, manage, and optimize automated testing frameworks, ensuring our products' continuous and flawless updates. Conduct thorough testing across various platforms, focusing on identifying bottlenecks, errors, and vulnerabilities to enhance throughput and execution flawlessness. Collaborate with FinTech and Blockchain industry partners to validate and assure the quality of integrated solutions, augmenting our product suite. Maintain active and open communication with the technical lead and team members, contributing insights and feedback on quality assurance strategies and product improvements. Lead and participate in peer reviews of test plans and related code to maintain high standards of quality, efficiency, and adherence to best practices in QA. ",https://web3.career/senior-qa-engineer-for-crypto-app-klinkfinance/71915
  Anchorage Digital  , Member of Technical Staff Custody FrontEnd Engineer ," Implement UI designs to create an intuitive user experience for managing cryptocurrency Review other developer’s UI code to ensure consistency, reduce errors and share context across the front-end engineering discipline Ability to implement automated UI tests to validate your features work as expected Work across the front-end engineering discipline at Anchorage Digital to level up our UIs while building simple and reusable components ",https://web3.career/member-of-technical-staff-custody-front-end-engineer-anchorage/71909
  Blockaid  , Backend Engineer ,"Contribute to our API platform and blockchain infrastructureData-modeling, system and API designBuild an engineering culture that attracts the most talented people to join usYou will need to find creative solutions to a variety of logical and visual challenges",https://web3.career/backend-engineer-blockaid/71843
  Staking Rewards  , Senior Frontend Engineer ," Developing high-performing, secure web experiences. Integrating robust security measures into code and technical practices. Building for others: other developers on the team, for stakeholders and our users Own the full vertical: shape, build, ship, monitor ",https://web3.career/senior-frontend-engineer-staking-rewards/71839
  Orca  , Software Engineer Frontend ," Build delightful user-facing products, whether it’s a TypeScript SDK, stats and price API, or brand new interface. Create compelling user experiences with a sharp eye for design details. Make complex interactions and animations look easy and seamless to both end users and fellow engineers. Maintain tooling and best practices for testing, package management, and CI/CD. Improve site speed, performance, and reliability. Contribute to an open-source culture and process. ",https://web3.career/software-engineer-frontend-orca/71806
  Fireblocks  , Frontend Platm Team Lead ," Mentor, lead, guide & Inspire a team of talented frontend professionals, providing day-to-day management and support, driving strategic processes and initiatives. You'll be a focal point for frontend development in the company, lead best practices and take active part in the frontend guild. You will be responsible for designing and leading the development of scalable, responsive, and high-performance web applications. Work closely with the team (Hands on) to ensure the implementation of best coding, engineering practices and shaping our front-end development strategies in React. You will collaborate closely with cross-functional teams, providing technical leadership and ensuring the delivery of high-quality software solutions. ",https://web3.career/frontend-platform-team-lead-fireblocks/71691
  Fireblocks  , Backend Fullstack Team Lead Product Platm ," Lead, inspire and mentor a team of talented engineers. Work closely (Hands on) with the team to ensure the implementation of best coding and engineering practices. Take ownership of project deliverables, ensuring timely and high-quality delivery. Make an impact in the Subscriptions and Billing domain by translating the needs into requirements and solutions.  Ensure that code quality, performance, best practices and design standards are met. Collaborating effectively with other teams, while also showcasing independent problem-solving abilities. Take part in designing a scalable and robust system. Continuously improve the team’s processes. ",https://web3.career/backend-fullstack-team-lead-product-platform-fireblocks/71689
  Fireblocks  , Full Stack Engineer Regulated Services ," Design, build and support the software systems for our regulated services customers Work directly with product and business teams to iteratively deliver software to production Solve challenging technical problems Influence the technical direction for regulated services business Contribute to team roadmap discussions and planning Interact with cross-functional partners from other Fireblocks Departments Manage identity and access management (IAM), user management, data security, and product-specific security measures. Work in coordination with cross-functional teams to ensure security measures are effectively integrated into various business processes. Work closely with the SecOps team (and SOC) to make sure all required security logs and events are available for them. ",https://web3.career/full-stack-engineer-regulated-services-fireblocks/71670
  Token Metrics  , Senior Front End Web Developer MoroccoRemote , Ensure all webpages are compatible in all browsers  Determining the structure and design of web pages. Ensuring user experience determines design choices. Developing features to enhance the user experience. Striking a balance between functional and aesthetic design. Ensuring web design is optimized for smartphones. Building reusable code for future use. Optimizing web pages for maximum speed and scalability. ,https://web3.career/senior-front-end-web-developer-morocco-remote-tokenmetrics/71637
  Calyptus  , Fullstack Engineer ," Help build and ship user-facing products, including our landing page and web dashboard Create new UI components according to design specifications Write business logic on the back-end that interfaces with cloud service providers Design, engineer and ship core product features end-to-end Be obsessed with the needs of our users and keep a pulse on the broader ecosystem ",https://web3.career/fullstack-engineer-calyptus/71634
  Token Metrics  , Senior Front End Web Developer Kuala LampurRemote , Ensure all webpages are compatible in all browsers  Determining the structure and design of web pages. Ensuring user experience determines design choices. Developing features to enhance the user experience. Striking a balance between functional and aesthetic design. Ensuring web design is optimized for smartphones. Building reusable code for future use. Optimizing web pages for maximum speed and scalability. ,https://web3.career/senior-front-end-web-developer-kuala-lampur-remote-tokenmetrics/71573
  Token Metrics  , Senior Front End Web Developer Jakarta Remote , Ensure all webpages are compatible in all browsers  Determining the structure and design of web pages. Ensuring user experience determines design choices. Developing features to enhance the user experience. Striking a balance between functional and aesthetic design. Ensuring web design is optimized for smartphones. Building reusable code for future use. Optimizing web pages for maximum speed and scalability. ,https://web3.career/senior-front-end-web-developer-jakarta-remote-tokenmetrics/71572
  Token Metrics  , Crypto Head of Engineering Kuala LamputRemote , Own product roadmap Proposing and managing budgets for projects. Supervising the work of multiple teams. Planning and executing strategies for completing projects on time. Researching and developing designs and products. Determining the need for training and talent development. Ensuring products have the support of upper management. Providing clear and concise instructions to engineering teams. ,https://web3.career/crypto-head-of-engineering-kuala-lamput-remote-tokenmetrics/71568
  Token Metrics  , Crypto Head of Engineering BudapestRemote , Own product roadmap Proposing and managing budgets for projects. Supervising the work of multiple teams. Planning and executing strategies for completing projects on time. Researching and developing designs and products. Determining the need for training and talent development. Ensuring products have the support of upper management. Providing clear and concise instructions to engineering teams. ,https://web3.career/crypto-head-of-engineering-budapest-remote-tokenmetrics/71565
  Token Metrics  , Crypto Senior Full Stack Developer Jakarta Remote , Developing front end website architecture. Designing user interactions on web pages. Developing back end website applications. Creating servers and databases for functionality. Ensuring cross-platform optimization for mobile phones. Ensuring responsiveness of applications. Working alongside graphic designers for web design features. Seeing through a project from conception to finished product. Designing and developing APIs. Meeting both technical and consumer needs. Staying abreast of developments in web applications and programming languages. ,https://web3.career/crypto-senior-full-stack-developer-jakarta-remote-tokenmetrics/71564
CloudDevs,React/Node Fullstack Developer,"CloudDevs is helping world-class, venture-backed startups find talented JS/typescript developers. You will be employed by one of these startups and play an integral role in their early-stage growth.  Minimum qualifications:  Preferred qualifications: What's In It For You?",https://weworkremotely.com/remote-jobs/clouddevs-react-node-fullstack-developer-3
Lidamus,"Senior Full-Stack Developer (React, Java)","About us We are a mergers and acquisitions (M&A) advisory platform dedicated to facilitating seamless business transactions. Our innovative digital platforms are constantly improving and aim to be number one in Germany by 2026. Our comprehensive approach covers every stage of the M&A process:Our mission is to change how managers work and collaborate, by digitalizing the whole process. You will be working with developers from all over the world, for example Germany, Portugal, Ukraine, Vietnam, Croatia and many more. Your passion Our technologies (for the list of backend technologies, only java experience is required) SalaryCompetitive salaries and yearly individual bonus. HolidayComplete freedom when and how much holidays you take. Working hoursYou are free to work any day / any time you like.  On average you should work min 50 % of your hours overlapping with CET 9am - 5pm.  DurationOur position is long term, our average employment length for developers is ~ 7 years. Next steps",https://weworkremotely.com/remote-jobs/lidamus-senior-full-stack-developer-react-java
Lemon.io,Senior Python & React Developer,"Are you a talented senior developer looking for a remote job that lets you show your skills and get better compensation and career growth? Look no further than Lemon.io - the marketplace that connects you with hand-picked startups in the US and Europe. What do we offer: We also collaborate with other companies through staff augmentation. More details are here. Who we are looking for: Requirements: Ready to take your career to the next level? Apply now and join the Lemon.io community! ALSO, we have a large number of different projects for Senior Full-Stack Developers, so if you have 4+ years of commercial experience in software development you are fluent with React & React Native, React & Ruby, Android & iOS, React & PHP,  DevOps Engineering - we would be happy to communicate and provide you a project which matches with your experience. Just apply, and we will share with you more details. If your experience matches with our requirements be ready for the next steps: P.S. We work with developers from 59 countries in different regions: Europe, LATAM, Asia (Philippines, Indonesia), Oceania (Australia, New Zealand, Papua New Guinea), Canada and the UK. However, we have some exceptions. At the moment, we don’t have a legal basis to accept applicants from certain European countries: Belarus, Iceland, Liechtenstein, Kosovo, Russia and Serbia. Additionally, there are a few countries in Latin America from which we cannot accept applicants: Cuba and Nicaragua, as well as most Asian countries. Furthermore, we are unable to accept applicants from Africa. Please note that due to the overwhelming number of applications, only suitable candidates will be contacted for an interview We strongly ask you to send your CVs in ENGLISH. Application in English will be considered first. Good luck to everyone!",https://weworkremotely.com/remote-jobs/lemon-io-senior-python-react-developer
